# sha1|fid|family|clan|ctype|slot|music|speed|filename|prefix|name|extra|version|authors|attribs|is_d
9047f6e9b77c6a44accb46c2237609b80e459fdc|3409||3409|2|11||||||||Nintendo||
456d8800ee7b1b1e2d2dfe4d4654a9c3bb9bd30f|3413||3413|2|12||||||||Nintendo||
701da16b7595050ac1525579aaba40783e49cf8b|3415||3415|2|13||||||||Nintendo||
e04eec80bbe0aaf8177e0c707c05ed541fb50a23|3410||3410|2|14||||||||Nintendo||
c49d2262b0cc65b649fe8add2daf91a3cf73cc45|3420||3420|2|15||||||||Nintendo||
7913710afcda69b359b5f3d614ddae8614403ef2|3419||3419|2|21||||||||Nintendo||
acb69b362358cdfe8a7394196696c4296acbc3a0|3416||3416|2|22||||||||Nintendo||
177710cd82c3019903392a77affa4615145402a3|3418||3418|2|23||||||||Nintendo||
26776d2bd97bae6d6a8e5fa9c1fd59ae7ca5dee5|3417||3417|2|24||||||||Nintendo||
b8312bacb25ec0f08560fd95e9edd08e821ce6cd|3412||3412|2|25||||||||Nintendo||
1ae1a7d894960b38e09e7494373378d87305a163|3445||3445|1|11||||||||Nintendo||
90720a7d57a7c76e2347782f6bde5d22342fb7dd|3450||3450|1|12||||||||Nintendo||
0e380357affcfd8722329994885699d9927f8276|3454||3454|1|13||||||||Nintendo||
1896aea49617a571c66ff778d8f2abbe9e5d7479|3464||3464|1|14||||||||Nintendo||
7752bb51edbc4a95377c0a05b0e0da1503786625|3448||3448|1|21||||||||Nintendo||
e4bf364cb0c5899907585d731621ca930a4ef85c|3424||3424|1|22||||||||Nintendo||
b02ed72e00b400647bda6845be387c47d251f9d1|3426||3426|1|23||||||||Nintendo||
d1a453b43d6920a78565e65a4597e353b177abd0|3466||3466|1|24||||||||Nintendo||
72d0241c75be4a5ebd242b9d8d89b1d6fd56be8f|3431||3431|1|31||||||||Nintendo||
52f01ae3aed1e0fa4c7459a648494863e83a548c|3443||3443|1|32||||||||Nintendo||
48ebd9d64413c2b98d2b92e5efc9b15ecd76fee6|3447||3447|1|33||||||||Nintendo||
acc0883ae0ce7879c6efba20cfe5b5909bf7841b|3441||3441|1|34||||||||Nintendo||
38486c4f706395772bd988c1ac5fa30d27cae098|3433||3433|1|41||||||||Nintendo||
b13c515475d7da207dfd5badd886986147b906ff|3452||3452|1|42||||||||Nintendo||
b9821b14a89381f9c015669353cb24d7db1bb25d|3422||3422|1|43||||||||Nintendo||
ffe518915e5faaa889057c8a3d3e439868574508|3460||3460|1|44||||||||Nintendo||
8014488a60f4428eef52d01f8c5861ca9565e1ca|3439||3439|1|51||||||||Nintendo||
8c854b087417a92425110cc71e23c944d6997806|3430||3430|1|52||||||||Nintendo||
071d697c4ddb66d3b210f36c7bf878502e79845b|3462||3462|1|53||||||||Nintendo||
49514e8f74fea50e77273c0297086d67e58123e8|3458||3458|1|54||||||||Nintendo||
ba9bcfb3731a6cb17dba219a8d37ea4d52332256|3459||3459|1|61||||||||Nintendo||
e8ed31605cc7d6660691998f024eed6ba8b4a33f|3436||3436|1|62||||||||Nintendo||
bc038e163d21d9a1181b60cf90b4d03efad9e0c5|3427||3427|1|63||||||||Nintendo||
418099824af6bf1cd7f8bb44f61e3a9cc3007dae|3440||3440|1|64||||||||Nintendo||
4ec538065fdc8acf49674300cbdec5b80cc05a0d|3428||3428|1|71||||||||Nintendo||
a4bea41be83d816f793f3fad97d268f71ad99bf9|3435||3435|1|72||||||||Nintendo||
692d566b05434d8c66a55bdff486698e0fc96095|3457||3457|1|73||||||||Nintendo||
1941a29ad2e7b7bba8a29e6440c95ef5cf76b01d|3438||3438|1|74||||||||Nintendo||
077111b996e5c4f47d20ec29c2938504b53a8e76|3463||3463|1|81||||||||Nintendo||
f9a62bef04cc8f499633e4023acc7675a92771f0|3429||3429|1|82||||||||Nintendo||
b036864cf0016be0581449ef29fb52b2e58d78a4|3437||3437|1|83||||||||Nintendo||
15b303b288f4707e5d0af28367c8ce51cdeab490|3456||3456|1|84||||||||Nintendo||
